Date, Instance, Algorithm, RandSeed, Duration, Optima
2026-02-10 23:21:29, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 1, 5.969, 0
2026-02-10 23:21:51, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 2, 22.522, 0
2026-02-10 23:21:56, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 3, 4.738, 0
2026-02-10 23:21:58, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 4, 2.475, 0
2026-02-10 23:22:04, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 5, 5.932, 0
2026-02-10 23:22:08, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 6, 3.882, 0
2026-02-10 23:22:14, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 7, 5.766, 0
2026-02-10 23:22:21, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 8, 7.287, 0
2026-02-10 23:22:31, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 9, 9.886, 0
2026-02-10 23:22:42, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 10, 10.334, 0
2026-02-10 23:23:00, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 11, 18.23, 0
2026-02-10 23:23:51, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 12, 50.629, 0
2026-02-10 23:23:51, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 13, 0.523, 0
2026-02-10 23:23:56, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 14, 4.424, 0
2026-02-10 23:24:09, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 15, 12.682, 0
2026-02-10 23:24:15, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 16, 6.245, 0
2026-02-10 23:24:16, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 17, 0.9, 0
2026-02-10 23:24:17, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 18, 0.917, 0
2026-02-10 23:25:18, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 19, 61.243, 0
2026-02-10 23:25:27, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 20, 8.429, 0
2026-02-10 23:25:28, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 21, 1.728, 0
2026-02-10 23:25:40, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 22, 11.151, 0
2026-02-10 23:25:45, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 23, 5.737, 0
2026-02-10 23:25:57, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 24, 11.381, 0
2026-02-10 23:26:21, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 25, 23.873, 0
2026-02-10 23:26:31, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 26, 10.275, 0
2026-02-10 23:26:49, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 27, 17.46, 0
2026-02-10 23:27:09, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 28, 20.705, 0
2026-02-10 23:28:15, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 29, 65.422, 0
2026-02-10 23:28:26, qwhdec.order33.holes381.bal.1.col, TABU(flow-200), 30, 11.453, 0
2026-02-10 23:29:13, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 1, 1.067, 0
2026-02-10 23:29:49, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 2, 35.92, 0
2026-02-10 23:29:56, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 3, 7.294, 0
2026-02-10 23:30:03, qwhdec.order33.holes381.bal.1.col, TABU(shuffle-200), 4, 6.56, 0
